SG_UF;TP_REDE
RO;1
RO;1
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;1
RO;1
RO;1
RO;1
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;1
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;1
RO;1
RO;1
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;1
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;1
RO;1
RO;1
RO;1
RO;1
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;1
RO;1
RO;1
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
RO;2
